Country/Region,Latitude,Longitude,Jan_2020,Feb_2020,March_2020,April_2020,May_2020,June_2020,July_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,March_2021,April_2021,May_2021,June_2021,July_2021,Aug_2021,Sep_2021,Oct_2021
Afghanistan,33.93911,67.709953,0,25,1141,25152,222720,751685,1079412,1165099,1205772,1371254,1444060,1697359,1781439,1664594,1850157,1853321,2138953,3091089,4536834,5002585,4938391,5296152
Albania,41.1533,20.1683,0,0,2232,15632,28873,50880,119660,230278,363954,587713,985482,1717254,2247089,2827529,3903543,4128083,4353844,4238595,4380229,4558464,5127009,6070103
Algeria,28.0339,1.6596,0,4,4823,69497,211394,337819,674286,1185076,1509980,1859456,2329547,3184634,3427687,3323399,3812631,3826171,4149261,4311214,5080997,6182341,6423412,6978198
Andorra,42.5063,1.5218,0,0,2787,19106,23498,25511,27174,31382,47325,117690,195443,254590,299215,315209,376543,407147,446227,442600,471684,492693,483933,522598
Angola,-11.2027,17.8739,0,0,48,601,1639,4660,20049,59160,116583,267189,450348,560836,620018,611244,711161,779879,1017919,1187794,1346753,1490384,1669139,2122840
Antigua and Barbuda,17.0608,-61.7964,0,0,61,617,776,1026,2366,2881,2987,3970,4477,5134,6242,14495,32384,38537,41133,40413,42086,48236,78647,130761
Argentina,-38.4161,-63.6167,0,0,6529,77576,275556,1091252,3728771,9244163,18310984,33474449,43627700,52041934,59189863,60964547,73450165,85415876,111494359,134063827,156269072,167940548,167416995,179326772
Armenia,40.0691,45.0382,0,0,4099,36511,151445,520967,1026463,1286089,1449209,2292893,3892220,5115778,5410391,5085820,5991723,6609623,7277635,7167311,7506952,7784491,8067725,9682963
Australia,-35.4735,149.0124,0,0,579,3028,3314,3235,3470,3503,3503,3856,3794,3993,3894,3542,4039,3940,4092,3968,4092,7491,23118,52077
Australia,-33.8688,151.2093,23,112,15757,84561,95130,94155,109877,122019,129407,147427,148864,161262,166689,154307,173199,172148,183268,181516,237070,559294,1566606,2423257
Australia,-12.4634,130.8456,0,0,126,815,897,870,955,1023,1023,1155,1510,2300,3053,3080,3500,4216,5589,5656,6288,6598,6577,7503
Australia,-27.4698,153.0251,6,127,6277,29303,32606,31929,33242,34018,35554,39609,39231,41898,42565,39608,46319,48596,52569,53142,58020,64144,64359,70442
Australia,-34.9285,138.6007,0,55,2675,12734,13609,13206,13787,14271,14443,16429,17754,19275,19511,18232,20998,21968,24540,24975,27539,28659,28593,31060
Australia,-42.8821,147.3272,0,0,565,4666,7027,6840,7080,7120,7131,7820,7590,7927,7722,7020,7722,7488,7722,7488,7722,7752,7521,8045
Australia,-37.8136,144.9631,9,112,6924,37825,47713,54306,173438,508954,616367,690264,671385,692154,674000,614085,675933,655938,678234,661594,686821,706506,926901,2304887
Australia,-31.9505,115.8605,0,0,2776,15274,17329,18070,19871,20183,20580,24637,26197,28685,29230,27298,30613,31078,33485,32654,34364,35213,34916,37743
Austria,47.5162,14.5501,0,10,84802,417242,500479,515592,600464,735971,1104549,2381331,6917042,11240065,12934661,13114797,16620948,18836511,20991470,20757057,21581681,22190651,22983309,26654176
Azerbaijan,40.1431,47.5769,0,0,1928,35353,101560,326549,794844,1065366,1196648,1575499,2823170,6287837,7467225,6971996,8091209,9457779,10868188,10729013,11186494,12515827,14831678,17203813
Bahamas,25.025885,-78.035889,0,0,99,1578,2933,3100,6403,41780,97227,190578,238353,262240,265574,250978,290138,310612,368961,391590,447493,548383,634387,742997
Bahrain,26.0275,50.55,0,126,7765,48676,210502,575360,1074705,1447593,1927605,2635240,2801152,3060148,3230556,3411575,4411354,5195263,6826022,8282953,8836132,8945256,8768839,9387749
